"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","rank"
GO:0010906,GO:0010906,regulation of glucose metabolic process,16/591,111/18493,4.74E-07,2.91E-06,1.20E-06,AKT1/GCG/GSK3B/IGF1/IRS1/MTOR/POMC/PPARA/SIRT1/SRC/CLK2/LEP/RGN/SESN2/TFF3/TIGAR,16,
GO:0010574,GO:0010574,regulation of vascular endothelial growth factor production,9/591,32/18493,4.75E-07,2.91E-06,1.20E-06,BRCA1/HIF1A/IL1A/IL1B/IL6/PTGS2/TGFB1/EIF2AK3/NOX1,9,
GO:0031297,GO:0031297,replication fork processing,9/591,32/18493,4.75E-07,2.91E-06,1.20E-06,BRCA2/DNA2/MRE11/PCNA/RAD51/SETMAR/ATRX/CENPX/WRN,9,
GO:0032735,GO:0032735,positive regulation of interleukin-12 production,9/591,32/18493,4.75E-07,2.91E-06,1.20E-06,CD40/IFNG/MAPK14/CCR7/CD36/HSPD1/IRF1/TLR4/TNFSF4,9,
GO:0060070,GO:0060070,canonical Wnt signaling pathway,27/591,284/18493,4.78E-07,2.92E-06,1.21E-06,APC/APOE/CAV1/CTNNB1/DAB2/DAB2IP/EGF/EGFR/EGR1/GATA3/GSK3B/ILK/MAPK14/NFKB1/PTEN/SRC/ASPM/BMP2/CDH2/FOXO3/HDAC1/IGFBP1/SHH/SOX2/STK11/TNKS/XIAP,27,
GO:0033260,GO:0033260,nuclear DNA replication,11/591,51/18493,4.82E-07,2.94E-06,1.22E-06,BRCA2/CHEK2/DNA2/PCNA/POLA1/RAD51/RPA1/RPA2/ATRX/FEN1/FGFR1,11,
GO:0048260,GO:0048260,positive regulation of receptor-mediated endocytosis,11/591,51/18493,4.82E-07,2.94E-06,1.22E-06,ANGPT1/CLU/DAB2/EGF/VEGFA/DNM2/HNRNPK/PLCG2/SELE/SERPINE1/TF,11,
GO:2000811,GO:2000811,negative regulation of anoikis,7/591,17/18493,4.84E-07,2.95E-06,1.22E-06,BCL2/CAV1/ITGB1/MCL1/PTK2/SRC/ITGA5,7,
GO:0032800,GO:0032800,receptor biosynthetic process,8/591,24/18493,4.85E-07,2.95E-06,1.22E-06,ACHE/HIF1A/PPARA/TNF/HDAC1/HNRNPK/IL10/PPARG,8,
GO:2000209,GO:2000209,regulation of anoikis,8/591,24/18493,4.85E-07,2.95E-06,1.22E-06,BCL2/CAV1/CHEK2/ITGB1/MCL1/PTK2/SRC/ITGA5,8,
GO:0048469,GO:0048469,cell maturation,20/591,169/18493,4.88E-07,2.97E-06,1.23E-06,BCL2/CDKN1A/CTNNB1/ERCC2/EREG/GATA3/HIF1A/MTOR/PTK2B/RB1/RET/SIRT2/VEGFA/C1QL1/CDC25B/FGFR1/FOXO3/G6PD/IRX5/PPARG,20,
GO:0034284,GO:0034284,response to monosaccharide,22/591,201/18493,5.18E-07,3.14E-06,1.30E-06,CASP3/CAT/EGR1/GCG/GCLC/HIF1A/ICAM1/PTEN/PTGS2/PTK2B/RAF1/RHOA/TGFB1/FOXO3/LDHA/LEP/LGALS1/MEN1/NADK/PRKCE/SESN2/SMAD2,22,
GO:0010822,GO:0010822,positive regulation of mitochondrion organization,16/591,112/18493,5.37E-07,3.25E-06,1.35E-06,BAK1/BAX/BCL2/CASP8/E2F1/GSK3B/HIF1A/KDR/MAPK8/MMP9/TP53/BAP1/PLAUR/TP63/TP73/UBE2L3,16,
GO:0055021,GO:0055021,regulation of cardiac muscle tissue growth,13/591,74/18493,5.56E-07,3.37E-06,1.39E-06,CDK1/IGF1/MAPK14/MTOR/PPARA/PTEN/FGF2/FGF20/FGFR1/G6PD/PAK1/PARP2/TP73,13,
GO:0002064,GO:0002064,epithelial cell development,22/591,202/18493,5.64E-07,3.41E-06,1.41E-06,AR/BCL11B/CDKN1A/CTNNB1/ESR1/GPX1/GSK3B/HIF1A/ICAM1/IKBKB/IL1B/ROS1/SOD1/TNF/ATRX/CRYGB/E2F4/FGFR1/FLNA/TIGAR/TNFRSF1A/TP63,22,
GO:0060485,GO:0060485,mesenchyme development,26/591,269/18493,5.67E-07,3.42E-06,1.42E-06,BCL2/CTNNB1/DAB2/DAB2IP/GDNF/GSK3B/HGF/HIF1A/IL1B/MDM2/MTOR/MYC/PTEN/RET/STAT1/TGFB1/ACVRL1/BMP2/CRB2/ERBB3/FGFR1/NOS3/SHH/SMAD2/SNAI1/TRIM28,26,
GO:0005996,GO:0005996,monosaccharide metabolic process,27/591,287/18493,5.89E-07,3.55E-06,1.47E-06,AKT1/ATF3/FUT1/GCG/GCLC/GLB1/GSK3B/IGF1/IRS1/MAPK14/MTOR/PER2/PKM/POMC/PPARA/SIRT1/SRC/TNF/CLK2/G6PD/LEP/PRKCE/RGN/SESN2/TFF3/TIGAR/WDTC1,27,
GO:0071466,GO:0071466,cellular response to xenobiotic stimulus,20/591,171/18493,5.91E-07,3.56E-06,1.47E-06,CASP9/CCNA2/CHEK2/E2F1/EGFR/EGR1/EPHX1/GLYAT/ICAM1/NQO1/RB1/TGFB1/AHR/DDIT4/EIF4EBP1/EPHX2/HSF1/NAT2/NQO2/SULT1B1,20,
GO:0038066,GO:0038066,p38MAPK cascade,11/591,52/18493,5.94E-07,3.58E-06,1.48E-06,DAB2IP/GADD45A/HGF/IL1B/MAPK14/VEGFA/BMP2/DUSP1/GADD45B/LEP/XDH,11,
GO:0010863,GO:0010863,positive regulation of phospholipase C activity,10/591,42/18493,6.02E-07,3.62E-06,1.50E-06,AGT/EGFR/ESR1/HRAS/KIT/FGF2/FGFR1/NTRK3/P2RY6/SELE,10,
GO:0045005,GO:0045005,DNA-dependent DNA replication maintenance of fidelity,10/591,42/18493,6.02E-07,3.62E-06,1.50E-06,BRCA2/DNA2/MRE11/MSH6/PCNA/RAD51/SETMAR/ATRX/CENPX/WRN,10,
GO:0010676,GO:0010676,positive regulation of cellular carbohydrate metabolic process,12/591,63/18493,6.11E-07,3.66E-06,1.52E-06,AKT1/GCG/IGF1/IRS1/PPARA/SRC/LHCGR/NTSR1/P2RY6/PRKCE/RGN/TIGAR,12,
GO:1902108,GO:1902108,regulation of mitochondrial membrane permeability involved in apoptotic process,12/591,63/18493,6.11E-07,3.66E-06,1.52E-06,ATF2/BAK1/BAX/BCL2/CASP8/E2F1/GSK3B/MAPK8/TP53/CAMK2A/TP63/TP73,12,
GO:1905710,GO:1905710,positive regulation of membrane permeability,12/591,63/18493,6.11E-07,3.66E-06,1.52E-06,ATF2/BAK1/BAX/BCL2/CASP8/E2F1/GSK3B/MAPK8/TP53/MT3/TP63/TP73,12,
GO:0046434,GO:0046434,organophosphate catabolic process,22/591,203/18493,6.14E-07,3.67E-06,1.52E-06,GPX1/HIF1A/HPRT1/IGF1/OGG1/PKM/PPARA/PTEN/STAT3/DDIT4/IDH1/LDHA/NTSR1/NUDT1/P2RX7/PLA2G4A/PLCG2/PRDX6/SMUG1/TIGAR/UNG/XDH,22,
GO:0061097,GO:0061097,regulation of protein tyrosine kinase activity,14/591,87/18493,6.27E-07,3.74E-06,1.55E-06,ACE/AGT/CAV1/EGF/ERCC6/EREG/PTPRC/SRC/THY1/ADAM17/CD24/ERBB3/PAK2/TGFA,14,
GO:2000106,GO:2000106,regulation of leukocyte apoptotic process,14/591,87/18493,6.27E-07,3.74E-06,1.55E-06,BAX/HIF1A/IL2/PTEN/SIRT1/TP53/ADAM17/ANXA1/CCR7/CDKN2A/IL10/LYN/P2RX7/PIK3CB,14,
GO:0019722,GO:0019722,calcium-mediated signaling,23/591,220/18493,6.49E-07,3.87E-06,1.60E-06,CCL4/CD4/EGFR/GSK3B/IGF1/KDR/MTOR/PTK2B/PTPRC/TNF/CCR7/CETN2/CXCL8/EIF2AK3/ERBB3/NFATC2/P2RX7/P2RY6/PLCG2/RGN/SELE/SELP/VCAM1,23,
GO:0050804,GO:0050804,modulation of chemical synaptic transmission,34/591,418/18493,6.57E-07,3.91E-06,1.62E-06,ABL1/ACHE/AGT/APOE/BCR/BRAF/CDH1/CREB1/EGFR/GDNF/GSK3B/HRAS/IL1B/ITGB1/JAK2/KIT/KRAS/MTOR/PLAT/PTEN/PTGS2/PTK2B/SRC/STAT3/TNF/ARC/CAMK2A/CDH2/CDK5/GFAP/GRM1/NTSR1/PRKCE/UCN,34,
GO:0046885,GO:0046885,regulation of hormone biosynthetic process,8/591,25/18493,6.94E-07,4.12E-06,1.71E-06,EGR1/HIF1A/IFNG/IL1B/NFKB1/TNF/AKR1C3/BMP2,8,
GO:0099177,GO:0099177,regulation of trans-synaptic signaling,34/591,419/18493,6.94E-07,4.12E-06,1.71E-06,ABL1/ACHE/AGT/APOE/BCR/BRAF/CDH1/CREB1/EGFR/GDNF/GSK3B/HRAS/IL1B/ITGB1/JAK2/KIT/KRAS/MTOR/PLAT/PTEN/PTGS2/PTK2B/SRC/STAT3/TNF/ARC/CAMK2A/CDH2/CDK5/GFAP/GRM1/NTSR1/PRKCE/UCN,34,
GO:0071824,GO:0071824,protein-DNA complex subunit organization,27/591,290/18493,7.22E-07,4.29E-06,1.78E-06,CCNH/CREB1/ERCC2/ESR1/H2AFX/HIST1H3J/HIST4H4/MYC/NPM1/PARP1/PSME4/RAD51/RAD52/RB1/RNF8/RPA1/RPA2/SETD2/TP53/ARID1A/ATRX/CENPX/CETN2/DAXX/DDB2/PIAS1/XPC,27,
GO:0032663,GO:0032663,regulation of interleukin-2 production,11/591,53/18493,7.29E-07,4.32E-06,1.79E-06,ABL1/CD4/FOXP3/GATA3/IL1A/IL1B/KAT5/PTPRC/ANXA1/RPS3/TRAF2,11,
GO:0061351,GO:0061351,neural precursor cell proliferation,18/591,143/18493,7.29E-07,4.32E-06,1.79E-06,CTNNB1/EGF/HIF1A/ILK/RHOA/RRM1/SIRT2/TGFB1/VEGFA/ARTN/ASPM/CDH2/FGFR1/FLNA/FOXO3/LYN/NES/SHH,18,
GO:0002260,GO:0002260,lymphocyte homeostasis,12/591,64/18493,7.31E-07,4.32E-06,1.79E-06,ABL1/AKT1/BAK1/BAX/BCL2/CASP3/FOXP3/HIF1A/IL2/TGFB1/LYN/P2RX7,12,
GO:0070192,GO:0070192,chromosome organization involved in meiotic cell cycle,12/591,64/18493,7.31E-07,4.32E-06,1.79E-06,CCNE1/FANCD2/MLH1/MRE11/RAD50/RAD51/RAD51C/SMC2/SPO11/ATRX/MSH4/MSH5,12,
GO:0060749,GO:0060749,mammary gland alveolus development,7/591,18/18493,7.69E-07,4.53E-06,1.87E-06,AR/CCND1/EGF/ESR1/HIF1A/VEGFA/TNFRSF11A,7,
GO:0061377,GO:0061377,mammary gland lobule development,7/591,18/18493,7.69E-07,4.53E-06,1.87E-06,AR/CCND1/EGF/ESR1/HIF1A/VEGFA/TNFRSF11A,7,
GO:1900409,GO:1900409,positive regulation of cellular response to oxidative stress,7/591,18/18493,7.69E-07,4.53E-06,1.87E-06,MCL1/SOD1/TNF/FOXO3/NOX1/RGN/TLR4,7,
GO:1903798,GO:1903798,regulation of production of miRNAs involved in gene silencing by miRNA,7/591,18/18493,7.69E-07,4.53E-06,1.87E-06,EGFR/ESR1/TGFB1/TP53/MAP2K1/MAP2K2/MYCN,7,
GO:0030656,GO:0030656,regulation of vitamin metabolic process,6/591,12/18493,8.15E-07,4.78E-06,1.98E-06,IFNG/IL1B/NFKB1/TNF/AKR1C3/SNAI1,6,
GO:0071481,GO:0071481,cellular response to X-ray,6/591,12/18493,8.15E-07,4.78E-06,1.98E-06,ATM/GATA3/TP53BP1/XRCC5/DNM2/XRCC6,6,
GO:0007517,GO:0007517,muscle organ development,33/591,403/18493,8.27E-07,4.85E-06,2.01E-06,ACHE/ATF3/BCL2/CAV1/CDK1/CREB1/CTNNB1/EGR1/EGR3/GPX1/IGF1/MAPK14/MTOR/PPARA/PTEN/RB1/RHOA/SIRT1/SIRT2/TGFB1/BMP2/CDK5/EP300/ERBB3/FGF2/FGF20/FGFR1/FOS/G6PD/PAK1/PARP2/SHH/TP73,33,
GO:0002456,GO:0002456,T cell mediated immunity,15/591,102/18493,8.30E-07,4.86E-06,2.01E-06,FOXP3/GATA3/HLA-E/HPRT1/ICAM1/IFNB1/IL1B/IL6/PTPRC/HSPD1/IL4/NLRP3/P2RX7/TNFSF4/TRAF2,15,
GO:0010573,GO:0010573,vascular endothelial growth factor production,9/591,34/18493,8.40E-07,4.91E-06,2.03E-06,BRCA1/HIF1A/IL1A/IL1B/IL6/PTGS2/TGFB1/EIF2AK3/NOX1,9,
GO:0070507,GO:0070507,regulation of microtubule cytoskeleton organization,20/591,175/18493,8.56E-07,5.00E-06,2.07E-06,ABL1/APC/BRCA1/CHEK1/CTNNB1/GSK3B/MCPH1/NPM1/PLK1/RAC1/RHOA/SMC1A/SMC3/CETN2/CHMP4C/NEK2/PAK1/RPS3/TPX2/XRCC3,20,
GO:0007272,GO:0007272,ensheathment of neurons,16/591,116/18493,8.72E-07,5.08E-06,2.11E-06,AKT1/CLU/CTNNB1/ERBB2/ERCC2/FAM126A/HGF/ILK/MTOR/PRX/PTEN/SIRT2/SOD1/TGFB1/EIF2AK3/NTRK3,16,
GO:0008366,GO:0008366,axon ensheathment,16/591,116/18493,8.72E-07,5.08E-06,2.11E-06,AKT1/CLU/CTNNB1/ERBB2/ERCC2/FAM126A/HGF/ILK/MTOR/PRX/PTEN/SIRT2/SOD1/TGFB1/EIF2AK3/NTRK3,16,
GO:0061098,GO:0061098,positive regulation of protein tyrosine kinase activity,11/591,54/18493,8.89E-07,5.18E-06,2.14E-06,ACE/AGT/EGF/ERCC6/EREG/SRC/ADAM17/CD24/ERBB3/PAK2/TGFA,11,
GO:0048738,GO:0048738,cardiac muscle tissue development,23/591,224/18493,8.91E-07,5.19E-06,2.15E-06,AGT/CDK1/CREB1/IGF1/ITGB1/MAPK14/MTOR/PPARA/PTEN/TGFB1/VEGFA/ARID1A/ATG5/BMP2/CALR/ERBB3/FGF2/FGF20/FGFR1/G6PD/PAK1/PARP2/TP73,23,
GO:0030193,GO:0030193,regulation of blood coagulation,13/591,77/18493,8.95E-07,5.20E-06,2.15E-06,APOE/CAV1/PLAT/ANXA5/CD36/LYN/NOS3/PDGFA/PLAUR/PRKCA/SELP/SERPINE1/TLR4,13,
GO:1900046,GO:1900046,regulation of hemostasis,13/591,77/18493,8.95E-07,5.20E-06,2.15E-06,APOE/CAV1/PLAT/ANXA5/CD36/LYN/NOS3/PDGFA/PLAUR/PRKCA/SELP/SERPINE1/TLR4,13,
GO:0014812,GO:0014812,muscle cell migration,15/591,103/18493,9.44E-07,5.47E-06,2.27E-06,ACE/AGT/APEX1/BCL2/IGF1/ILK/MDM2/PLAT/SRC/TERT/ANXA1/P2RY6/PAK1/PDGFA/SERPINE1,15,
GO:0034764,GO:0034764,positive regulation of transmembrane transport,21/591,192/18493,9.48E-07,5.50E-06,2.28E-06,ABL1/AGT/AKT1/BAX/BRAF/IGF1/IRS1/MAPK14/TERT/THY1/ARC/DNM2/FLNA/G6PD/HSPA2/IL13/NTSR1/P2RX7/P2RY6/PLCG2/RGN,21,
GO:0001974,GO:0001974,blood vessel remodeling,10/591,44/18493,9.59E-07,5.54E-06,2.29E-06,ACE/AGT/BAK1/BAX/BCR/MDM2/TGFB1/ACVRL1/ATG5/NOS3,10,
GO:0032309,GO:0032309,icosanoid secretion,10/591,44/18493,9.59E-07,5.54E-06,2.29E-06,ACE/IL1B/NOS2/ANXA1/LEP/NTSR1/P2RX7/PLA2G2D/PLA2G4A/TNFRSF11A,10,
GO:1903555,GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,17/591,131/18493,9.59E-07,5.54E-06,2.29E-06,ANGPT1/CD2/CLU/FOXP3/HLA-E/HSPB1/IFNG/JAK2/POMC/PTPRC/TSPO/CD36/HSF1/HSPD1/IL10/LEP/TLR4,17,
GO:0014909,GO:0014909,smooth muscle cell migration,14/591,90/18493,9.60E-07,5.54E-06,2.29E-06,ACE/AGT/APEX1/BCL2/IGF1/ILK/MDM2/PLAT/SRC/TERT/P2RY6/PAK1/PDGFA/SERPINE1,14,
GO:0031954,GO:0031954,positive regulation of protein autophosphorylation,8/591,26/18493,9.74E-07,5.62E-06,2.33E-06,ACE/MRE11/NBN/RAD50/SRC/VEGFA/PDGFA/TNKS1BP1,8,
GO:0009267,GO:0009267,cellular response to starvation,18/591,146/18493,9.93E-07,5.72E-06,2.37E-06,ALB/ATF3/BCL2/CDKN1A/FAS/IFI16/JUN/MAPK8/MTOR/PIK3C3/PPM1D/SIRT1/TP53/AKR1C3/ATG5/EIF2AK3/SESN2/WRN,18,
GO:0008217,GO:0008217,regulation of blood pressure,20/591,177/18493,1.03E-06,5.90E-06,2.44E-06,ACE/AGT/AR/HBB/HMOX1/NOS2/POMC/PPARA/PTGS2/RHOA/SOD1/SOD2/ACVRL1/EPHX2/LEP/NOS3/NOX1/NTSR1/PPARG/UCN,20,
GO:0050792,GO:0050792,regulation of viral process,20/591,177/18493,1.03E-06,5.90E-06,2.44E-06,APOE/BCL2/CCL4/CD4/IFI16/IFNB1/JUN/PML/SMC3/SP1/STAT1/TNF/APOBEC3G/CHMP4C/CXCL8/EP300/HDAC1/LGALS1/TRIM28/TRIM31,20,
GO:0002709,GO:0002709,regulation of T cell mediated immunity,12/591,66/18493,1.03E-06,5.92E-06,2.45E-06,FOXP3/GATA3/HLA-E/IFNB1/IL1B/IL6/PTPRC/HSPD1/NLRP3/P2RX7/TNFSF4/TRAF2,12,
GO:0019915,GO:0019915,lipid storage,12/591,66/18493,1.03E-06,5.92E-06,2.45E-06,APOE/CAV1/IL1B/IL6/NFKB1/NFKBIA/PPARA/SIRT1/TNF/CD36/LEP/PPARG,12,
GO:2000573,GO:2000573,positive regulation of DNA biosynthetic process,12/591,66/18493,1.03E-06,5.92E-06,2.45E-06,ATM/ATR/CTNNB1/HGF/HSP90AA1/MYC/PTK2B/SRC/XRCC5/FGF2/NEK2/TNKS,12,
GO:0032922,GO:0032922,circadian regulation of gene expression,11/591,55/18493,1.08E-06,6.18E-06,2.56E-06,MTA1/PER2/PML/PPARA/RELB/SIRT1/AHR/BHLHE41/HDAC1/PPP1CC/TOP1,11,
GO:0007435,GO:0007435,salivary gland morphogenesis,9/591,35/18493,1.10E-06,6.27E-06,2.60E-06,EGFR/HGF/POLB/TGFB1/TNF/FGFR1/PDGFA/SHH/TWSG1,9,
GO:0051385,GO:0051385,response to mineralocorticoid,9/591,35/18493,1.10E-06,6.27E-06,2.60E-06,CCND1/CDKN1A/KRAS/PARP1/SRC/FOS/FOSB/FOXO3/NTRK3,9,
GO:0046634,GO:0046634,regulation of alpha-beta T cell activation,14/591,91/18493,1.10E-06,6.28E-06,2.60E-06,FOXP3/GATA3/HLA-E/IFNG/IL2/PTPRC/RHOA/ANXA1/IRF1/NLRP3/SHH/SOCS1/TNFSF4/TWSG1,14,
GO:0050810,GO:0050810,regulation of steroid biosynthetic process,14/591,91/18493,1.10E-06,6.28E-06,2.60E-06,APOE/EGR1/IFNG/IL1B/NFKB1/SIRT1/SOD1/SP1/TNF/TSPO/AKR1C3/BMP2/LEP/SNAI1,14,
GO:0031346,GO:0031346,positive regulation of cell projection organization,31/591,371/18493,1.16E-06,6.62E-06,2.74E-06,AGT/APC/APOE/ATMIN/ATP8A2/BRAF/DAB2IP/HGF/HRAS/IL2/ILK/KIT/MTOR/PTK2B/RAC1/RET/RHOA/SRC/VEGFA/CCR7/DNM2/EP300/FGFR1/FN1/LYN/MAP2K1/NTRK3/P2RX7/PAK1/RALA/STK11,31,
GO:0002320,GO:0002320,lymphoid progenitor cell differentiation,7/591,19/18493,1.18E-06,6.73E-06,2.79E-06,BCL2/GATA3/KIT/LIG4/PRKDC/FLT3/SHH,7,
GO:0072111,GO:0072111,cell proliferation involved in kidney development,7/591,19/18493,1.18E-06,6.73E-06,2.79E-06,EGR1/GATA3/MYC/PTCH1/STAT1/BMP2/SHH,7,
GO:0033143,GO:0033143,regulation of intracellular steroid hormone receptor signaling pathway,13/591,79/18493,1.21E-06,6.87E-06,2.84E-06,AR/BRCA1/DAB2/ESR1/PARP1/RHOA/SIRT1/SRC/CALR/EP300/HDAC1/PAK1/TP63,13,
GO:0043467,GO:0043467,regulation of generation of precursor metabolites and energy,15/591,105/18493,1.21E-06,6.87E-06,2.84E-06,AKT1/CDK1/GSK3B/HIF1A/IGF1/IRS1/MTOR/NOS2/POMC/PPARA/RHOA/STAT3/DDIT4/P2RX7/TIGAR,15,
GO:0072676,GO:0072676,lymphocyte migration,15/591,105/18493,1.21E-06,6.87E-06,2.84E-06,AKT1/CCL4/GATA3/ICAM1/KLRK1/KLRC4-KLRK1/PTK2B/RET/RHOA/ADAM17/ARTN/CCL11/CCL8/CCR7/CXCL16,15,
GO:0045454,GO:0045454,cell redox homeostasis,12/591,67/18493,1.22E-06,6.92E-06,2.86E-06,APEX1/GCLC/GPX1/GSR/NOS2/PRDX1/PRDX2/PRDX5/NOS3/PRDX6/SCO2/TXN,12,
GO:0002695,GO:0002695,negative regulation of leukocyte activation,19/591,164/18493,1.30E-06,7.36E-06,3.05E-06,ATM/BCR/CASP3/ERBB2/FOXP3/HMOX1/IFNB1/IL2/PTPRC/TGFB1/ANXA1/IL10/IRF1/LYN/PLA2G2D/SHH/SOCS1/TNFSF4/TWSG1,19,
GO:0007062,GO:0007062,sister chromatid cohesion,11/591,56/18493,1.31E-06,7.36E-06,3.05E-06,CTNNB1/MRE11/PLK1/RAD21/RAD51C/RB1/SMC1A/SMC3/ATRX/FEN1/TNKS,11,
GO:0031663,GO:0031663,lipopolysaccharide-mediated signaling pathway,11/591,56/18493,1.31E-06,7.36E-06,3.05E-06,AKT1/IL1B/MAPK14/NFKBIA/TGFB1/TNF/LYN/NOS3/PRKCA/PRKCE/TLR4,11,
GO:0050770,GO:0050770,regulation of axonogenesis,20/591,180/18493,1.34E-06,7.54E-06,3.12E-06,ABL1/APOE/BRAF/GSK3B/ILK/PTEN/PTK2/RET/RHOA/THY1/VEGFA/CDH2/CDK5/DNM2/FN1/MAP2K1/MT3/NTRK3/PAK1/STK11,20,
GO:0002724,GO:0002724,regulation of T cell cytokine production,8/591,27/18493,1.35E-06,7.56E-06,3.13E-06,FOXP3/GATA3/IFNB1/IL1B/IL6/NLRP3/TNFSF4/TRAF2,8,
GO:0010575,GO:0010575,positive regulation of vascular endothelial growth factor production,8/591,27/18493,1.35E-06,7.56E-06,3.13E-06,BRCA1/HIF1A/IL1A/IL1B/PTGS2/TGFB1/EIF2AK3/NOX1,8,
GO:1990776,GO:1990776,response to angiotensin,8/591,27/18493,1.35E-06,7.56E-06,3.13E-06,AGT/CAV1/NFKB1/PTGS2/SRC/CAMK2A/CDC6/HSF1,8,
GO:0032609,GO:0032609,interferon-gamma production,15/591,106/18493,1.37E-06,7.70E-06,3.19E-06,ABL1/CD2/FOXP3/GATA3/HRAS/IL1B/IL2/KLRK1/KLRC4-KLRK1/TNF/CCR7/HSPD1/IL10/TLR4/TNFSF4,15,
GO:0043500,GO:0043500,muscle adaptation,16/591,120/18493,1.38E-06,7.76E-06,3.21E-06,AGT/HMOX1/IGF1/IL1B/MTOR/PARP1/PPARA/PTK2/CAMK2G/G6PD/NOS3/PAK1/PARP2/PRKCA/TNFRSF1A/TNNT1,16,
GO:0033045,GO:0033045,regulation of sister chromatid segregation,13/591,80/18493,1.41E-06,7.86E-06,3.26E-06,APC/ATM/CTNNB1/PLK1/RAD21/RB1/ATRX/CDC6/DUSP1/FEN1/PTTG1/TNKS/XRCC3,13,
GO:0060420,GO:0060420,regulation of heart growth,13/591,80/18493,1.41E-06,7.86E-06,3.26E-06,CDK1/IGF1/MAPK14/MTOR/PPARA/PTEN/FGF2/FGF20/FGFR1/G6PD/PAK1/PARP2/TP73,13,
GO:0032205,GO:0032205,negative regulation of telomere maintenance,9/591,36/18493,1.42E-06,7.94E-06,3.29E-06,ATM/ERCC1/NBN/PARP1/RAD50/SRC/XRCC1/XRCC5/TNKS,9,
GO:0032350,GO:0032350,regulation of hormone metabolic process,9/591,36/18493,1.42E-06,7.94E-06,3.29E-06,EGR1/GATA3/HIF1A/IFNG/IL1B/NFKB1/TNF/AKR1C3/BMP2,9,
GO:0031647,GO:0031647,regulation of protein stability,25/591,265/18493,1.46E-06,8.14E-06,3.37E-06,BCL2/CCNH/CDKN1A/CHEK2/CLU/CREB1/HSP90AA1/IGF1/KRAS/MDM2/PLK1/PRKDC/PTEN/SIRT1/SRC/TERT/BMP2/CALR/EP300/FLNA/HSPD1/MT3/TF/USP3/USP9X,25,
GO:0071706,GO:0071706,tumor necrosis factor superfamily cytokine production,17/591,135/18493,1.47E-06,8.18E-06,3.39E-06,ANGPT1/CD2/CLU/FOXP3/HLA-E/HSPB1/IFNG/JAK2/POMC/PTPRC/TSPO/CD36/HSF1/HSPD1/IL10/LEP/TLR4,17,
GO:0050852,GO:0050852,T cell receptor signaling pathway,18/591,150/18493,1.48E-06,8.22E-06,3.41E-06,BRAF/CD4/FOXP3/GATA3/HLA-DRB1/HRAS/IKBKB/LCK/NFKB1/PTPRC/THY1/CCR7/PAK1/PAK2/PIK3CB/PLCG2/RPS3/STK11,18,
GO:0023061,GO:0023061,signal release,35/591,453/18493,1.48E-06,8.22E-06,3.41E-06,AGT/BRAF/CREB1/EGFR/GATA3/GCG/GRP/GSK3B/HIF1A/HNF1A/IFNG/IL1B/IL6/IRS1/JAK2/NOS2/PER2/POMC/RAF1/TNF/ANXA1/ANXA5/CAMK2A/CAMK2G/CDK5/FGFR1/IL11/LEP/LYN/NADK/P2RX7/PRKCA/PRKCE/SMAD2/UCN,35,
GO:0030857,GO:0030857,negative regulation of epithelial cell differentiation,10/591,46/18493,1.49E-06,8.22E-06,3.41E-06,CAV1/CCND1/CTNNB1/GSK3B/IFNG/STAT1/ACVRL1/IL13/TP63/XDH,10,
GO:0071715,GO:0071715,icosanoid transport,10/591,46/18493,1.49E-06,8.22E-06,3.41E-06,ACE/IL1B/NOS2/ANXA1/LEP/NTSR1/P2RX7/PLA2G2D/PLA2G4A/TNFRSF11A,10,
GO:1900744,GO:1900744,regulation of p38MAPK cascade,10/591,46/18493,1.49E-06,8.22E-06,3.41E-06,DAB2IP/GADD45A/HGF/IL1B/VEGFA/BMP2/DUSP1/GADD45B/LEP/XDH,10,
GO:1901571,GO:1901571,fatty acid derivative transport,10/591,46/18493,1.49E-06,8.22E-06,3.41E-06,ACE/IL1B/NOS2/ANXA1/LEP/NTSR1/P2RX7/PLA2G2D/PLA2G4A/TNFRSF11A,10,
GO:1903727,GO:1903727,positive regulation of phospholipid metabolic process,10/591,46/18493,1.49E-06,8.22E-06,3.41E-06,IRS1/KIT/PTK2/PTK2B/SRC/TGFB1/CCR7/FGF2/FLT3/LYN,10,
GO:1902110,GO:1902110,positive regulation of mitochondrial membrane permeability involved in apoptotic process,11/591,57/18493,1.57E-06,8.68E-06,3.60E-06,ATF2/BAK1/BAX/BCL2/CASP8/E2F1/GSK3B/MAPK8/TP53/TP63/TP73,11,
GO:1900542,GO:1900542,regulation of purine nucleotide metabolic process,14/591,94/18493,1.65E-06,9.08E-06,3.76E-06,CDK1/HIF1A/IGF1/COX2/NOS2/PARP1/PPARA/RHOA/STAT3/TSPO/DDIT4/NOS3/P2RX7/TIGAR,14,
GO:1905269,GO:1905269,positive regulation of chromatin organization,14/591,94/18493,1.65E-06,9.08E-06,3.76E-06,ATM/BRCA1/CTNNB1/FOXP3/GATA3/GCG/IL1B/RIF1/SIRT1/TGFB1/VEGFA/DNMT1/PAXIP1/TRIM28,14,
